attrib1,attrib2,attrib3,attrib4,attrib5,attrib6,attrib7,attrib8,attrib9,attrib10,attrib11,attrib12,attrib13,attrib14,attrib15,attrib16,attrib17,attrib18,attrib19,attrib20,attrib21,attrib22,attrib23,attrib24,attrib25,class
0.162069604189134,0.675513072965278,0.371170656408022,0.30830796477149,0.109067519539605,0.706538269726351,0.338294937783536,0.214300951727605,0.300554545928545,0.631534026651926,0.763935980817246,0.818401782349027,0.311057376865002,0.644793321094118,0.292784013427286,0.094483162173772,0.141044644108664,0.574219078264467,0.847319093264685,0.794303352009395,0.110736997506353,0.180531461931167,0.564743433327518,0.520356584217659,0.789957658094622,8
0.665674006198068,0.420881999009141,0.588420743682196,0.352042247658005,0.270386582288353,0.463284070987527,0.233175299980043,0.407039429901787,0.289444369338481,0.845746901298062,0.792472544260821,0.088515525000924,0.557840109160931,0.855510092167388,0.069530054573641,0.633071382256269,0.543594712214428,0.722319982185712,0.373809677877931,0.680214781716111,0.55633799865507,0.66410675469064,0.525095821303396,0.639932920936314,0.682329464530497,1
0.687700055046996,0.745661106788253,0.613853050217602,0.466227992710764,0.197602219446923,0.823993935466211,0.564276617517117,0.69205566335531,0.821655880978953,0.375817906978655,0.621177237990083,0.734752735544151,0.587665589807688,0.925963543869592,0.775185766825835,0.173139795841086,0.949141762443418,0.303096526260258,0.77983844104117,0.268465628798605,0.800647926034662,0.82322126005245,0.880268209408735,0.211446636733962,0.706734688679182,4
0.843115920040112,0.539214111722577,0.691728584118857,0.83959066371533,0.164401858276538,0.343757356439861,0.817196170487346,0.339691734903315,0.500874369413849,0.837035336480405,0.483041797699001,0.331377693092528,0.837452235262682,0.59376737303067,0.553444246469129,0.912031122967685,0.733326134535802,0.466411698996949,0.697785618744468,0.750255089961431,0.208707301967356,0.469274063940399,0.462589976101826,0.193345336543959,0.43349051997432,7
0.422686032523784,0.243947196780179,0.475827686044058,0.673568377313509,0.240463002310793,0.927095646634658,0.146354947349548,0.901163474652079,0.557110421476522,0.854767844426316,0.294597898168366,0.161821002611703,0.587048231040207,0.081946331697324,0.335677389040009,0.832282607812867,0.08198959820435,0.365907444917102,0.547612376734382,0.798329443965228,0.41884545588984,0.730514805320095,0.122743017850239,0.477957086512183,0.647980149990784,5
0.138729311670311,0.72922921798802,0.786995794422649,0.949194488090475,0.858388160569324,0.68339275800227,0.359729586988347,0.099185970428367,0.743593362199399,0.733219414287267,0.409478432639193,0.896901463642977,0.286471850886902,0.081617106699937,0.906336449591746,0.622397599041485,0.131843525481112,0.542032834222595,0.532034825064856,0.864848383605147,0.567109776361575,0.370982214895544,0.261524149848825,0.807354800612826,0.072163304674296,6
0.677239021905103,0.762335333313711,0.614917662767238,0.466954641014011,0.197628317917019,0.823553850233856,0.56425560824133,0.692047398233978,0.821653298247125,0.375821984120798,0.621177065081477,0.734753506026032,0.587665854484448,0.925963392724584,0.775185696116047,0.173139787748973,0.949141834385599,0.303096526664121,0.779838441908331,0.268465628844048,0.800647926040246,0.82322126003974,0.880268209413921,0.211446636736674,0.706734688678204,4
0.70483461699546,0.756704105912152,0.619047698222186,0.467158469261128,0.192379332594265,0.823559892007182,0.564291132840384,0.692049344434545,0.821653352174825,0.375821982264725,0.621176838211795,0.734753553028212,0.587665813363192,0.925963395602775,0.77518569568454,0.173139791877627,0.949141835840866,0.303096526880173,0.779838442430565,0.26846562877589,0.80064792572343,0.823221260097066,0.880268209421195,0.211446636762124,0.70673468870507,4
0.822408889134319,0.537514892126897,0.707732278923057,0.839031870887619,0.163959498656388,0.34358340537519,0.817609681128273,0.339513469345087,0.500869819179309,0.837045559461508,0.483041538641928,0.331377614776351,0.837451397094076,0.593767202595728,0.553444231244178,0.912031116343221,0.733326192383193,0.466411710158923,0.697785637064881,0.750255085286025,0.208707305177147,0.469274064188725,0.462589975782391,0.193345335665049,0.433490520877871,7
0.126823822529814,0.722767434449459,0.781797893508449,0.953022576122748,0.855619885491549,0.681339026530606,0.360082751040501,0.099635059818583,0.742961488224977,0.732586427792761,0.409131215935828,0.896508742189538,0.286353005402028,0.082308127478465,0.906105335858935,0.622517157099206,0.132335694255754,0.542065175887626,0.532274762107848,0.864423510003186,0.567042363407027,0.371121810335339,0.261411588905655,0.80728638242983,0.0726086728093,6
